Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0.0,0.0,12.0,130.0,21.0,2.0,16.0,199.0,0.0,40904.0,429192.0,0.0,0.0,0.0,0.0,40.0,0.0,46.0,0.0,0.0,42.0,260.0
0.0,0.0,2.0,117.0,21.0,2.0,16.0,177.0,0.0,40224.0,394768.0,0.0,0.0,0.0,0.0,22.0,0.0,53.0,0.0,0.0,40.0,201.0
0.0,0.0,2.0,101.0,23.0,3.0,16.0,176.0,0.0,38408.0,499672.0,0.0,0.0,0.0,0.0,24.0,0.0,47.0,0.0,0.0,44.0,220.0
0.0,0.0,23.0,85.0,19.0,1.0,16.0,175.0,0.0,62472.0,498880.0,0.0,0.0,0.0,0.0,23.0,0.0,48.0,0.0,0.0,32.0,221.0
0.0,0.0,25.0,99.0,23.0,4.0,18.0,209.0,0.0,48128.0,618512.0,0.0,0.0,0.0,0.0,43.0,0.0,120.0,0.0,0.0,34.0,240.0
0.0,0.0,1.0,83.0,22.0,1.0,17.0,209.0,0.0,51416.0,352048.0,0.0,0.0,0.0,0.0,18.0,0.0,50.0,0.0,0.0,34.0,176.0
0.0,0.0,13.0,100.0,23.0,1.0,18.0,167.0,0.0,39896.0,467032.0,0.0,0.0,0.0,0.0,38.0,0.0,48.0,0.0,0.0,34.0,199.0
0.0,0.0,1.0,91.0,26.0,5.0,17.0,162.0,0.0,45680.0,381992.0,0.0,0.0,0.0,0.0,25.0,0.0,52.0,0.0,0.0,39.0,186.0
0.0,0.0,3.0,84.0,21.0,2.0,16.0,166.0,0.0,55416.0,335848.0,0.0,0.0,0.0,0.0,23.0,0.0,50.0,0.0,0.0,38.0,192.0
0.0,0.0,5.0,171.0,22.0,4.0,17.0,192.0,0.0,102776.0,537920.0,0.0,0.0,0.0,0.0,36.0,0.0,64.0,0.0,0.0,45.0,215.0
0.0,0.0,50.0,223.0,25.0,3.0,16.0,209.0,0.0,112248.0,1227000.0,0.0,0.0,0.0,0.0,59.0,0.0,52.0,0.0,0.0,45.0,337.0
0.0,0.0,49.0,107.0,25.0,2.0,15.0,185.0,0.0,39568.0,733200.0,0.0,0.0,0.0,0.0,45.0,0.0,51.0,0.0,0.0,46.0,309.0
0.0,0.0,3.0,129.0,21.0,1.0,16.0,178.0,0.0,87184.0,413840.0,0.0,0.0,0.0,0.0,24.0,0.0,47.0,0.0,0.0,45.0,235.0
0.0,0.0,109.0,197.0,29.0,3.0,16.0,216.0,0.0,77656.0,1799248.0,0.0,0.0,0.0,0.0,75.0,0.0,48.0,0.0,0.0,39.0,413.0
0.0,0.0,73.0,144.0,21.0,4.0,16.0,190.0,0.0,81064.0,1213120.0,0.0,0.0,0.0,0.0,54.0,0.0,46.0,0.0,0.0,32.0,327.0
0.0,0.0,5.0,100.0,26.0,1.0,17.0,172.0,0.0,97408.0,445832.0,0.0,0.0,0.0,0.0,26.0,0.0,51.0,0.0,0.0,37.0,199.0
