etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,class
0.0,0.0,69.0,106.0,165.0,185.0,36.0,1988.0,0.0,36914808.0,1389576.0,0.0,0.0,0.0,0.0,3290.0,0.0,82.0,0.0,0.0,51.0,1974.0,normal
0.0,0.0,73.0,117.0,166.0,183.0,39.0,2040.0,0.0,37929128.0,1426968.0,0.0,0.0,0.0,0.0,3390.0,0.0,81.0,0.0,0.0,50.0,2037.0,normal
0.0,0.0,73.0,125.0,161.0,174.0,38.0,3043.0,0.0,36254448.0,2084424.0,0.0,0.0,0.0,0.0,3240.0,0.0,131.0,0.0,0.0,54.0,3002.0,normal
0.0,0.0,72.0,117.0,174.0,182.0,35.0,3368.0,0.0,37414832.0,2151936.0,0.0,0.0,0.0,0.0,3342.0,0.0,74.0,0.0,0.0,54.0,3366.0,normal
0.0,0.0,69.0,115.0,171.0,185.0,36.0,2202.0,0.0,37634336.0,1474592.0,0.0,0.0,0.0,0.0,3370.0,0.0,124.0,0.0,0.0,52.0,2142.0,normal
0.0,0.0,67.0,107.0,177.0,183.0,38.0,2334.0,0.0,37051256.0,5325032.0,0.0,0.0,0.0,1.0,3317.0,0.0,89.0,0.0,0.0,56.0,2616.0,normal
0.0,0.0,67.0,132.0,172.0,194.0,37.0,2026.0,0.0,37404768.0,3596864.0,0.0,0.0,0.0,0.0,3345.0,0.0,78.0,0.0,0.0,58.0,2210.0,normal
0.0,0.0,66.0,121.0,155.0,179.0,33.0,1917.0,0.0,35262568.0,1346200.0,0.0,0.0,0.0,0.0,3157.0,0.0,71.0,0.0,0.0,49.0,1920.0,normal
0.0,0.0,70.0,120.0,165.0,182.0,35.0,2030.0,0.0,37180888.0,1393344.0,0.0,0.0,0.0,0.0,3326.0,0.0,119.0,0.0,0.0,49.0,1981.0,normal
0.0,0.0,73.0,122.0,173.0,175.0,39.0,3931.0,0.0,37492992.0,3428912.0,0.0,0.0,0.0,0.0,3357.0,0.0,89.0,0.0,0.0,59.0,3989.0,normal
