Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,class
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory,
0.0,0.0,0.0,433.0,11.0,3.0,67.0,163.0,0.0,10008.0,995624.0,0.0,0.0,0.0,0.0,6.0,0.0,118.0,0.0,0.0,476.0,81.0,30.0,30.0,29.0,0.0859341431975313,23.830015262814072,signature_d
0.0,0.0,0.0,436.0,8.0,2.0,68.0,151.0,0.0,17624.0,973640.0,0.0,0.0,0.0,0.0,8.0,0.0,123.0,0.0,0.0,450.0,76.0,30.0,30.0,29.0,0.0859341431975313,23.831263842496707,signature_d
0.0,0.0,0.0,445.0,8.0,1.0,74.0,150.0,0.0,21592.0,953280.0,0.0,0.0,0.0,0.0,15.0,0.0,126.0,0.0,0.0,458.0,80.0,30.0,30.0,29.0,0.0859341431975313,23.82987228340909,signature_d
0.0,0.0,0.0,447.0,9.0,1.0,67.0,166.0,0.0,20888.0,1006832.0,0.0,0.0,0.0,0.0,14.0,0.0,127.0,0.0,0.0,460.0,83.0,30.0,30.0,29.0,0.0859341431975313,23.826944302831397,signature_d
0.0,0.0,0.0,437.0,146.0,4.0,65.0,158.0,0.0,20864.0,1394720.0,0.0,0.0,0.0,0.0,14.0,0.0,114.0,0.0,0.0,439.0,244.0,30.0,30.0,32.0,0.0859341431975313,23.827434170472195,signature_d
0.0,0.0,0.0,462.0,75.0,6.0,70.0,163.0,0.0,10480.0,1243888.0,0.0,0.0,0.0,0.0,7.0,0.0,124.0,0.0,0.0,469.0,179.0,30.0,30.0,29.0,0.0859341431975313,23.831860315301164,signature_d
0.0,0.0,0.0,451.0,76.0,7.0,66.0,172.0,0.0,10656.0,1222944.0,0.0,0.0,0.0,0.0,7.0,0.0,121.0,0.0,0.0,462.0,180.0,30.0,30.0,29.0,0.0859341431975313,23.82779018134707,signature_d
0.0,0.0,0.0,433.0,36.0,8.0,64.0,157.0,0.0,18912.0,1071856.0,0.0,0.0,0.0,0.0,9.0,0.0,117.0,0.0,0.0,455.0,117.0,30.0,30.0,29.0,0.0859341431975313,23.830974676340016,signature_d
0.0,0.0,0.0,446.0,9.0,3.0,65.0,160.0,0.0,20304.0,994120.0,0.0,0.0,0.0,0.0,14.0,0.0,125.0,0.0,0.0,447.0,83.0,30.0,30.0,29.0,0.0859341431975313,23.83159423163689,signature_d
0.0,0.0,0.0,449.0,9.0,2.0,61.0,176.0,0.0,21232.0,1002792.0,0.0,0.0,0.0,0.0,14.0,0.0,127.0,0.0,0.0,487.0,83.0,30.0,30.0,32.0,0.0859341431975313,23.833262332797503,signature_d
0.0,0.0,0.0,435.0,8.0,1.0,62.0,156.0,0.0,21320.0,958424.0,0.0,0.0,0.0,0.0,14.0,0.0,116.0,0.0,0.0,455.0,78.0,22.0,28.0,27.0,0.0859341431975313,23.83103291416685,signature_d
0.0,0.0,0.0,438.0,8.0,1.0,65.0,152.0,0.0,17544.0,967424.0,0.0,0.0,0.0,0.0,9.0,0.0,119.0,0.0,0.0,456.0,81.0,12.0,26.0,6.0,0.0859341431975313,23.825815986447736,signature_d
0.0,0.0,0.0,431.0,8.0,2.0,56.0,151.0,0.0,10824.0,960288.0,0.0,0.0,0.0,0.0,7.0,0.0,111.0,0.0,0.0,460.0,70.0,8.0,24.0,5.0,0.0859341431975313,23.82683169840061,signature_d
0.0,0.0,0.0,444.0,8.0,2.0,66.0,166.0,0.0,21288.0,987320.0,0.0,0.0,0.0,0.0,14.0,0.0,123.0,0.0,0.0,467.0,82.0,6.0,22.0,5.0,0.0859341431975313,23.8266247554792,signature_d
0.0,0.0,0.0,424.0,8.0,1.0,57.0,147.0,0.0,19888.0,932232.0,0.0,0.0,0.0,0.0,14.0,0.0,109.0,0.0,0.0,439.0,76.0,6.0,19.0,5.0,0.0859341431975313,23.827802910319264,signature_d
0.0,0.0,0.0,439.0,8.0,2.0,61.0,153.0,0.0,11984.0,976128.0,0.0,0.0,0.0,0.0,8.0,0.0,117.0,0.0,0.0,461.0,77.0,6.0,17.0,8.0,0.0859341431975313,23.82609909339199,signature_d
0.0,0.0,0.0,442.0,8.0,2.0,59.0,159.0,0.0,14848.0,985720.0,0.0,0.0,0.0,0.0,9.0,0.0,114.0,0.0,0.0,468.0,78.0,6.0,15.0,6.0,0.0859341431975313,23.826284692523792,signature_d
0.0,0.0,29.0,456.0,11.0,7.0,60.0,147.0,0.0,10056.0,1388000.0,0.0,0.0,0.0,0.0,3.0,0.0,115.0,0.0,0.0,457.0,135.0,6.0,12.0,5.0,0.0859341431975313,23.82606576078822,signature_d
0.0,0.0,0.0,424.0,12.0,3.0,58.0,151.0,0.0,17424.0,962744.0,0.0,0.0,0.0,0.0,12.0,0.0,111.0,0.0,0.0,439.0,87.0,6.0,9.0,5.0,0.0859341431975313,23.82606576078822,signature_d
0.0,0.0,0.0,428.0,9.0,0.0,41.0,154.0,0.0,5232.0,951480.0,0.0,0.0,0.0,0.0,2.0,0.0,99.0,0.0,0.0,464.0,68.0,6.0,7.0,5.0,0.0859341431975313,23.827215260801477,signature_d
0.0,0.0,0.0,448.0,10.0,4.0,42.0,157.0,0.0,20040.0,991384.0,0.0,0.0,0.0,0.0,14.0,0.0,96.0,0.0,0.0,469.0,81.0,6.0,7.0,7.0,0.0859341431975313,23.82659964186572,signature_d
0.0,0.0,0.0,446.0,9.0,3.0,41.0,159.0,0.0,27560.0,975520.0,0.0,0.0,0.0,0.0,16.0,0.0,96.0,0.0,0.0,463.0,83.0,6.0,6.0,7.0,0.0859341431975313,23.82631349620265,signature_d
0.0,0.0,0.0,451.0,14.0,6.0,42.0,162.0,0.0,22672.0,1021472.0,0.0,0.0,0.0,0.0,15.0,0.0,97.0,0.0,0.0,472.0,92.0,6.0,6.0,6.0,0.0859341431975313,23.8270518265516,signature_d
0.0,0.0,0.0,416.0,11.0,2.0,37.0,150.0,0.0,8472.0,933680.0,0.0,0.0,0.0,0.0,6.0,0.0,91.0,0.0,0.0,445.0,75.0,6.0,6.0,5.0,0.0859341431975313,23.825609847876937,signature_d
0.0,0.0,0.0,442.0,9.0,2.0,43.0,169.0,0.0,10664.0,992064.0,0.0,0.0,0.0,0.0,7.0,0.0,117.0,0.0,0.0,469.0,74.0,6.0,6.0,5.0,0.0859341431975313,23.826706966936914,signature_d
0.0,0.0,0.0,447.0,8.0,0.0,50.0,185.0,0.0,21352.0,988064.0,0.0,0.0,0.0,0.0,14.0,0.0,132.0,0.0,0.0,462.0,84.0,8.0,6.0,25.0,0.0859341431975313,23.82791090112421,signature_d
0.0,0.0,0.0,422.0,9.0,2.0,42.0,156.0,0.0,14056.0,938352.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,447.0,75.0,10.0,7.0,8.0,0.0859341431975313,23.820531765733925,signature_d
0.0,0.0,34.0,459.0,13.0,7.0,42.0,154.0,0.0,3976.0,1470744.0,0.0,0.0,0.0,0.0,2.0,0.0,97.0,0.0,0.0,456.0,156.0,8.0,7.0,6.0,0.0859341431975313,23.821956018675905,signature_d
0.0,0.0,0.0,449.0,8.0,4.0,43.0,159.0,0.0,28312.0,980376.0,0.0,0.0,0.0,0.0,16.0,0.0,100.0,0.0,0.0,459.0,89.0,6.0,7.0,6.0,0.0859341431975313,23.82115352294892,signature_d
0.0,0.0,0.0,445.0,9.0,1.0,42.0,168.0,0.0,19792.0,978368.0,0.0,0.0,0.0,0.0,14.0,0.0,100.0,0.0,0.0,466.0,86.0,6.0,7.0,6.0,0.0859341431975313,23.8223175000162,signature_d
0.0,0.0,0.0,434.0,7.0,3.0,42.0,156.0,0.0,11448.0,967144.0,0.0,0.0,0.0,0.0,7.0,0.0,98.0,0.0,0.0,463.0,75.0,6.0,7.0,5.0,0.0859341431975313,23.8210555781846,signature_d
0.0,0.0,0.0,412.0,10.0,2.0,41.0,149.0,0.0,16968.0,917736.0,0.0,0.0,0.0,0.0,8.0,0.0,94.0,0.0,0.0,433.0,80.0,6.0,7.0,6.0,0.0859341431975313,23.821584039915567,signature_d
0.0,0.0,0.0,436.0,7.0,1.0,43.0,162.0,0.0,11400.0,960808.0,0.0,0.0,0.0,0.0,8.0,0.0,100.0,0.0,0.0,464.0,78.0,6.0,7.0,8.0,0.0859341431975313,23.821101843814883,signature_d
0.0,0.0,0.0,450.0,10.0,2.0,41.0,171.0,0.0,21320.0,995960.0,0.0,0.0,0.0,0.0,14.0,0.0,101.0,0.0,0.0,467.0,93.0,6.0,7.0,5.0,0.0859341431975313,23.822154441699546,signature_d
0.0,0.0,0.0,442.0,6.0,1.0,38.0,157.0,0.0,15384.0,963248.0,0.0,0.0,0.0,0.0,10.0,0.0,93.0,0.0,0.0,459.0,82.0,6.0,7.0,6.0,0.0859341431975313,23.82286570790831,signature_d
0.0,0.0,0.0,422.0,10.0,4.0,32.0,150.0,0.0,3000.0,957560.0,0.0,0.0,0.0,0.0,2.0,0.0,88.0,0.0,0.0,460.0,69.0,6.0,7.0,5.0,0.0859341431975313,23.82404761486199,signature_d
0.0,0.0,0.0,425.0,11.0,6.0,44.0,158.0,0.0,21256.0,970368.0,0.0,0.0,0.0,0.0,14.0,0.0,97.0,0.0,0.0,451.0,84.0,6.0,6.0,6.0,0.0859341431975313,23.82204419088892,signature_d
0.0,0.0,0.0,450.0,11.0,3.0,39.0,166.0,0.0,22032.0,997728.0,0.0,0.0,0.0,0.0,15.0,0.0,96.0,0.0,0.0,470.0,88.0,6.0,6.0,8.0,0.0859341431975313,23.820818472400983,signature_d
0.0,0.0,0.0,424.0,7.0,3.0,43.0,157.0,0.0,9904.0,955920.0,0.0,0.0,0.0,0.0,3.0,0.0,98.0,0.0,0.0,458.0,75.0,6.0,6.0,5.0,0.0859341431975313,23.821052071124544,signature_d
0.0,0.0,0.0,422.0,8.0,2.0,43.0,159.0,0.0,13200.0,944376.0,0.0,0.0,0.0,0.0,8.0,0.0,100.0,0.0,0.0,447.0,80.0,6.0,6.0,5.0,0.0859341431975313,23.82103747096061,signature_d
0.0,0.0,0.0,430.0,7.0,1.0,39.0,157.0,0.0,11240.0,949672.0,0.0,0.0,0.0,0.0,7.0,0.0,93.0,0.0,0.0,453.0,81.0,8.0,6.0,26.0,0.0859341431975313,23.825569870808216,signature_d
0.0,0.0,0.0,442.0,10.0,3.0,44.0,157.0,0.0,16840.0,987408.0,0.0,0.0,0.0,0.0,8.0,0.0,100.0,0.0,0.0,467.0,81.0,10.0,7.0,6.0,0.0859341431975313,23.8217081977166,signature_d
