etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,class
0,0,34,459,13,7,42,154,0,3976,1470744,0,0,0,0,2,0,97,0,0,456,156,8.0,7.0,6.0,normal
0,0,0,449,8,4,43,159,0,28312,980376,0,0,0,0,16,0,100,0,0,459,89,6.0,7.0,6.0,normal
0,0,0,445,9,1,42,168,0,19792,978368,0,0,0,0,14,0,100,0,0,466,86,6.0,7.0,6.0,normal
0,0,0,434,7,3,42,156,0,11448,967144,0,0,0,0,7,0,98,0,0,463,75,6.0,7.0,5.0,normal
0,0,0,412,10,2,41,149,0,16968,917736,0,0,0,0,8,0,94,0,0,433,80,6.0,7.0,6.0,normal
0,0,0,436,7,1,43,162,0,11400,960808,0,0,0,0,8,0,100,0,0,464,78,6.0,7.0,8.0,normal
0,0,0,450,10,2,41,171,0,21320,995960,0,0,0,0,14,0,101,0,0,467,93,6.0,7.0,5.0,normal
0,0,0,442,6,1,38,157,0,15384,963248,0,0,0,0,10,0,93,0,0,459,82,6.0,7.0,6.0,normal
0,0,0,422,10,4,32,150,0,3000,957560,0,0,0,0,2,0,88,0,0,460,69,6.0,7.0,5.0,normal
0,0,0,425,11,6,44,158,0,21256,970368,0,0,0,0,14,0,97,0,0,451,84,6.0,6.0,6.0,normal
0,0,0,450,11,3,39,166,0,22032,997728,0,0,0,0,15,0,96,0,0,470,88,6.0,6.0,8.0,normal
0,0,0,424,7,3,43,157,0,9904,955920,0,0,0,0,3,0,98,0,0,458,75,6.0,6.0,5.0,normal
0,0,0,422,8,2,43,159,0,13200,944376,0,0,0,0,8,0,100,0,0,447,80,6.0,6.0,5.0,normal
0,0,0,430,7,1,39,157,0,11240,949672,0,0,0,0,7,0,93,0,0,453,81,8.0,6.0,26.0,normal
0,0,0,442,10,3,44,157,0,16840,987408,0,0,0,0,8,0,100,0,0,467,81,10.0,7.0,6.0,normal
0,0,0,436,8,2,42,163,0,9992,978128,0,0,0,0,6,0,99,0,0,471,76,8.0,7.0,5.0,normal
0,0,0,427,10,1,39,156,0,20896,935328,0,0,0,0,14,0,94,0,0,441,84,6.0,7.0,8.0,normal
0,0,0,446,7,2,41,156,0,19712,970576,0,0,0,0,14,0,98,0,0,458,84,6.0,7.0,6.0,normal
0,0,0,447,9,2,40,165,0,21600,982568,0,0,0,0,14,0,96,0,0,464,89,6.0,7.0,7.0,normal
0,0,0,444,7,1,40,167,0,20936,970696,0,0,0,0,14,0,98,0,0,464,84,6.0,7.0,6.0,normal
0,0,0,425,9,2,39,156,0,13904,944248,0,0,0,0,10,0,95,0,0,444,83,6.0,7.0,6.0,normal
0,0,0,422,10,3,42,159,0,11424,959608,0,0,0,0,4,0,99,0,0,457,76,6.0,7.0,8.0,normal
0,0,0,449,10,2,43,169,0,21160,996248,0,0,0,0,14,0,102,0,0,470,88,6.0,7.0,6.0,normal
0,0,0,445,10,4,42,161,0,19880,987272,0,0,0,0,14,0,100,0,0,461,87,6.0,7.0,7.0,normal
0,0,0,443,15,9,44,161,0,22432,1032776,0,0,0,0,12,0,99,0,0,472,90,6.0,6.0,6.0,normal
0,0,0,405,8,2,41,152,0,4464,917664,0,0,0,0,2,0,94,0,0,444,69,6.0,6.0,6.0,normal
0,0,0,430,10,2,45,155,0,10616,960520,0,0,0,0,7,0,102,0,0,456,77,6.0,6.0,5.0,normal
0,0,0,435,7,2,42,161,0,12320,965544,0,0,0,0,8,0,100,0,0,458,82,6.0,6.0,8.0,normal
0,0,0,442,10,1,42,163,0,15784,980080,0,0,0,0,10,0,98,0,0,466,84,10.0,7.0,31.0,normal
0,0,0,427,8,1,42,154,0,3576,949232,0,0,0,0,2,0,97,0,0,456,77,22.0,9.0,30.0,normal
0,0,0,445,10,4,42,155,0,27680,972736,0,0,0,0,16,0,97,0,0,450,87,30.0,12.0,30.0,normal
0,0,0,439,8,3,42,176,0,21576,998240,0,0,0,0,14,0,97,0,0,471,92,30.0,14.0,32.0,normal
0,0,0,437,10,2,41,161,0,20064,973408,0,0,0,0,14,0,103,0,0,457,88,30.0,16.0,32.0,normal
0,0,0,427,8,1,40,154,0,11112,944840,0,0,0,0,7,0,96,0,0,443,79,31.0,19.0,32.0,normal
0,0,0,441,10,3,40,163,0,17856,984912,0,0,0,0,10,0,96,0,0,466,86,30.0,21.0,30.0,normal
0,0,0,449,9,2,39,160,0,22856,984784,0,0,0,0,14,0,92,0,0,466,89,30.0,23.0,29.0,normal
0,0,0,425,10,1,43,161,0,20864,946672,0,0,0,0,14,0,99,0,0,438,85,30.0,26.0,29.0,normal
0,0,0,458,150,6,43,157,0,15352,1440688,0,0,0,0,10,0,98,0,0,461,244,30.0,28.0,29.0,normal
0,0,0,436,68,8,40,167,0,3376,1194312,0,0,0,0,2,0,95,0,0,473,159,30.0,30.0,34.0,normal
0,0,0,468,69,4,43,166,0,21208,1195016,0,0,0,0,14,0,97,0,0,458,185,30.0,30.0,30.0,normal
0,0,0,437,34,6,44,171,0,29120,1032112,0,0,0,0,17,0,99,0,0,461,136,30.0,30.0,29.0,normal
0,0,0,441,9,2,44,153,0,9480,994784,0,0,0,0,6,0,96,0,0,447,71,30.0,30.0,29.0,normal
0,0,0,429,10,3,42,152,0,10568,964208,0,0,0,0,7,0,99,0,0,442,75,30.0,30.0,29.0,normal
0,0,0,436,8,1,42,154,0,10248,962752,0,0,0,0,6,0,98,0,0,464,75,30.0,30.0,34.0,normal
0,0,0,428,10,3,41,150,0,14640,960936,0,0,0,0,7,0,96,0,0,463,70,30.0,30.0,29.0,normal
0,0,0,436,8,3,40,169,0,22512,940944,0,0,0,0,15,0,103,0,0,457,82,30.0,30.0,30.0,normal
0,0,0,452,11,2,44,157,0,21248,988856,0,0,0,0,14,0,102,0,0,462,89,30.0,30.0,29.0,normal
0,0,0,441,8,2,38,155,0,19944,978584,0,0,0,0,14,0,92,0,0,466,84,30.0,30.0,30.0,normal
0,0,0,430,8,1,46,161,0,21272,936704,0,0,0,0,15,0,105,0,0,447,78,25.0,29.0,7.0,normal
0,0,0,457,9,2,44,161,0,21680,997656,0,0,0,0,14,0,102,0,0,471,86,17.0,27.0,21.0,normal
0,0,0,423,9,2,40,148,0,21256,924080,0,0,0,0,15,0,99,0,0,434,79,10.0,25.0,6.0,normal
0,0,0,444,8,4,44,164,0,21344,985696,0,0,0,0,11,0,98,0,0,470,79,6.0,23.0,5.0,normal
0,0,0,431,13,4,38,156,0,4920,985776,0,0,0,0,2,0,98,0,0,465,77,6.0,20.0,6.0,normal
0,0,0,442,12,7,41,154,0,19800,1004800,0,0,0,0,14,0,98,0,0,467,80,6.0,18.0,7.0,normal
0,0,0,447,10,2,48,164,0,27696,984928,0,0,0,0,16,0,105,0,0,466,86,6.0,16.0,7.0,normal
0,0,0,424,8,2,40,149,0,22720,924800,0,0,0,0,15,0,93,0,0,440,76,6.0,13.0,5.0,normal
0,0,0,443,9,2,45,162,0,13752,983216,0,0,0,0,9,0,106,0,0,464,81,6.0,11.0,6.0,normal
0,0,0,427,7,2,44,155,0,4816,950936,0,0,0,0,2,0,101,0,0,463,68,6.0,9.0,6.0,normal
0,0,0,444,9,2,39,158,0,21496,967576,0,0,0,0,14,0,97,0,0,461,79,6.0,7.0,7.0,normal
0,0,0,428,7,1,39,153,0,20056,930584,0,0,0,0,14,0,94,0,0,441,79,6.0,6.0,5.0,normal
0,0,0,432,11,4,41,157,0,17744,974200,0,0,0,0,8,0,99,0,0,462,76,6.0,6.0,7.0,normal
0,0,0,434,7,1,45,175,0,11416,966192,0,0,0,0,7,0,119,0,0,464,72,6.0,6.0,6.0,normal
0,0,0,451,8,2,52,188,0,19616,1005768,0,0,0,0,14,0,140,0,0,468,81,6.0,6.0,5.0,normal
0,0,0,426,8,3,45,164,0,4560,969104,0,0,0,0,2,0,110,0,0,459,75,6.0,6.0,8.0,normal
0,0,0,426,12,3,41,155,0,26240,949000,0,0,0,0,14,0,95,0,0,445,85,9.0,7.0,18.0,normal
0,0,0,435,8,1,44,150,0,9904,957416,0,0,0,0,7,0,101,0,0,458,74,9.0,7.0,7.0,normal
0,0,0,443,10,3,42,160,0,12992,990936,0,0,0,0,8,0,102,0,0,469,80,6.0,7.0,5.0,normal
0,0,0,421,12,8,38,155,0,13072,978056,0,0,0,0,8,0,93,0,0,459,74,6.0,7.0,6.0,normal
0,0,0,444,10,3,42,159,0,19592,979560,0,0,0,0,14,0,99,0,0,460,85,6.0,7.0,8.0,normal
0,0,0,448,8,2,43,156,0,21392,975944,0,0,0,0,14,0,99,0,0,461,84,6.0,7.0,5.0,normal
0,0,0,452,9,4,49,165,0,28880,997008,0,0,0,0,16,0,107,0,0,467,89,6.0,7.0,6.0,normal
0,0,0,408,8,2,38,144,0,3288,917512,0,0,0,0,2,0,94,0,0,441,64,6.0,7.0,7.0,normal
