Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,class
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory,
0,0,0,439,8,2,61,153,0,11984,976128,0,0,0,0,8,0,117,0,0,461,77,6.0,17.0,8.0,0.0859341431975313,23.82609909339199,signature_f
0,0,0,442,8,2,59,159,0,14848,985720,0,0,0,0,9,0,114,0,0,468,78,6.0,15.0,6.0,0.0859341431975313,23.826284692523792,signature_f
0,0,29,456,11,7,60,147,0,10056,1388000,0,0,0,0,3,0,115,0,0,457,135,6.0,12.0,5.0,0.0859341431975313,23.82606576078822,signature_f
0,0,0,424,12,3,58,151,0,17424,962744,0,0,0,0,12,0,111,0,0,439,87,6.0,9.0,5.0,0.0859341431975313,23.82606576078822,signature_f
0,0,0,428,9,0,41,154,0,5232,951480,0,0,0,0,2,0,99,0,0,464,68,6.0,7.0,5.0,0.0859341431975313,23.827215260801477,signature_f
0,0,0,448,10,4,42,157,0,20040,991384,0,0,0,0,14,0,96,0,0,469,81,6.0,7.0,7.0,0.0859341431975313,23.82659964186572,signature_f
0,0,0,446,9,3,41,159,0,27560,975520,0,0,0,0,16,0,96,0,0,463,83,6.0,6.0,7.0,0.0859341431975313,23.82631349620265,signature_f
0,0,0,451,14,6,42,162,0,22672,1021472,0,0,0,0,15,0,97,0,0,472,92,6.0,6.0,6.0,0.0859341431975313,23.8270518265516,signature_f
0,0,0,416,11,2,37,150,0,8472,933680,0,0,0,0,6,0,91,0,0,445,75,6.0,6.0,5.0,0.0859341431975313,23.825609847876937,signature_f
0,0,0,442,9,2,43,169,0,10664,992064,0,0,0,0,7,0,117,0,0,469,74,6.0,6.0,5.0,0.0859341431975313,23.826706966936914,signature_f
0,0,0,447,8,0,50,185,0,21352,988064,0,0,0,0,14,0,132,0,0,462,84,8.0,6.0,25.0,0.0859341431975313,23.82791090112421,signature_f
0,0,0,422,9,2,42,156,0,14056,938352,0,0,0,0,10,0,100,0,0,447,75,10.0,7.0,8.0,0.0859341431975313,23.820531765733925,signature_f
0,0,34,459,13,7,42,154,0,3976,1470744,0,0,0,0,2,0,97,0,0,456,156,8.0,7.0,6.0,0.0859341431975313,23.821956018675905,signature_f
0,0,0,449,8,4,43,159,0,28312,980376,0,0,0,0,16,0,100,0,0,459,89,6.0,7.0,6.0,0.0859341431975313,23.82115352294892,signature_f
0,0,0,445,9,1,42,168,0,19792,978368,0,0,0,0,14,0,100,0,0,466,86,6.0,7.0,6.0,0.0859341431975313,23.8223175000162,signature_f
0,0,0,434,7,3,42,156,0,11448,967144,0,0,0,0,7,0,98,0,0,463,75,6.0,7.0,5.0,0.0859341431975313,23.8210555781846,signature_f
0,0,0,412,10,2,41,149,0,16968,917736,0,0,0,0,8,0,94,0,0,433,80,6.0,7.0,6.0,0.0859341431975313,23.821584039915567,signature_f
0,0,0,436,7,1,43,162,0,11400,960808,0,0,0,0,8,0,100,0,0,464,78,6.0,7.0,8.0,0.0859341431975313,23.821101843814883,signature_f
0,0,0,450,10,2,41,171,0,21320,995960,0,0,0,0,14,0,101,0,0,467,93,6.0,7.0,5.0,0.0859341431975313,23.822154441699546,signature_f
0,0,0,442,6,1,38,157,0,15384,963248,0,0,0,0,10,0,93,0,0,459,82,6.0,7.0,6.0,0.0859341431975313,23.82286570790831,signature_f
0,0,0,422,10,4,32,150,0,3000,957560,0,0,0,0,2,0,88,0,0,460,69,6.0,7.0,5.0,0.0859341431975313,23.82404761486199,signature_f
0,0,0,425,11,6,44,158,0,21256,970368,0,0,0,0,14,0,97,0,0,451,84,6.0,6.0,6.0,0.0859341431975313,23.82204419088892,signature_f
0,0,0,450,11,3,39,166,0,22032,997728,0,0,0,0,15,0,96,0,0,470,88,6.0,6.0,8.0,0.0859341431975313,23.820818472400983,signature_f
0,0,0,424,7,3,43,157,0,9904,955920,0,0,0,0,3,0,98,0,0,458,75,6.0,6.0,5.0,0.0859341431975313,23.821052071124544,signature_f
0,0,0,422,8,2,43,159,0,13200,944376,0,0,0,0,8,0,100,0,0,447,80,6.0,6.0,5.0,0.0859341431975313,23.82103747096061,signature_f
0,0,0,430,7,1,39,157,0,11240,949672,0,0,0,0,7,0,93,0,0,453,81,8.0,6.0,26.0,0.0859341431975313,23.825569870808216,signature_f
0,0,0,442,10,3,44,157,0,16840,987408,0,0,0,0,8,0,100,0,0,467,81,10.0,7.0,6.0,0.0859341431975313,23.8217081977166,signature_f
0,0,0,436,8,2,42,163,0,9992,978128,0,0,0,0,6,0,99,0,0,471,76,8.0,7.0,5.0,0.0859341431975313,23.822587256512204,signature_f
0,0,0,427,10,1,39,156,0,20896,935328,0,0,0,0,14,0,94,0,0,441,84,6.0,7.0,8.0,0.0859341431975313,23.821313997417874,signature_f
0,0,0,446,7,2,41,156,0,19712,970576,0,0,0,0,14,0,98,0,0,458,84,6.0,7.0,6.0,0.0859341431975313,23.822419217854165,signature_f
0,0,0,447,9,2,40,165,0,21600,982568,0,0,0,0,14,0,96,0,0,464,89,6.0,7.0,7.0,0.0859341431975313,23.821796112003764,signature_f
0,0,0,444,7,1,40,167,0,20936,970696,0,0,0,0,14,0,98,0,0,464,84,6.0,7.0,6.0,0.0859341431975313,23.821623537178684,signature_f
0,0,0,425,9,2,39,156,0,13904,944248,0,0,0,0,10,0,95,0,0,444,83,6.0,7.0,6.0,0.0859341431975313,23.8210576373056,signature_f
0,0,0,422,10,3,42,159,0,11424,959608,0,0,0,0,4,0,99,0,0,457,76,6.0,7.0,8.0,0.0859341431975313,23.82072277698995,signature_f
0,0,0,449,10,2,43,169,0,21160,996248,0,0,0,0,14,0,102,0,0,470,88,6.0,7.0,6.0,0.0859341431975313,23.82101558373117,signature_f
0,0,0,445,10,4,42,161,0,19880,987272,0,0,0,0,14,0,100,0,0,461,87,6.0,7.0,7.0,0.0859341431975313,23.82285813656873,signature_f
0,0,0,443,15,9,44,161,0,22432,1032776,0,0,0,0,12,0,99,0,0,472,90,6.0,6.0,6.0,0.0859341431975313,23.82141041175019,signature_f
0,0,0,405,8,2,41,152,0,4464,917664,0,0,0,0,2,0,94,0,0,444,69,6.0,6.0,6.0,0.0859341431975313,23.821251333909764,signature_f
0,0,0,430,10,2,45,155,0,10616,960520,0,0,0,0,7,0,102,0,0,456,77,6.0,6.0,5.0,0.0859341431975313,23.82104408165512,signature_f
0,0,0,435,7,2,42,161,0,12320,965544,0,0,0,0,8,0,100,0,0,458,82,6.0,6.0,8.0,0.0859341431975313,23.82154402689156,signature_f
0,0,0,442,10,1,42,163,0,15784,980080,0,0,0,0,10,0,98,0,0,466,84,10.0,7.0,31.0,0.0859341431975313,24.32681268638268,signature_f
0,0,0,427,8,1,42,154,0,3576,949232,0,0,0,0,2,0,97,0,0,456,77,22.0,9.0,30.0,0.0859341431975313,24.83016508783266,signature_f
